,Id,Name,Topic-Code,Questions count,Topic
0,490,Introduction & Growth as Criterion for Being Living (OLD NCERT),622,111,The Living World
1,491,Reproduction as Criterion for Being Living (OLD NCERT),622,92,The Living World
2,492,Metabolism and Consciousness as Criterion for Being Living (OLD NCERT),622,120,The Living World
3,493,Taxonomy 1: Nomenclature,622,230,The Living World
4,494,Taxonomy 2: Classification up to Genus,622,173,The Living World
5,495,Taxonomy 3: From Family to Classification of Some Organisms,622,174,The Living World
6,496,Taxonomical Aids: Part 1 (OLD NCERT),622,73,The Living World
7,497,Taxonomical Aids: Part 2 (OLD NCERT),622,74,The Living World
8,498,Systematics & Type study,622,54,The Living World
9,499,Different Classification Systems,623,194,Biological Classification
10,500,Kingdom Monera: Introduction,623,91,Biological Classification
11,501,Kingdom Monera: Bacterial Cell Structure,623,35,Biological Classification
12,502,Kingdom Monera: Surface Appendages,623,14,Biological Classification
13,503,Kingdom Monera: Bacterial Reproduction,623,30,Biological Classification
14,504,Kingdom Monera: Bacterial Recombination,623,14,Biological Classification
15,505,Kingdom Monera: Bacterial Life Process,623,78,Biological Classification
16,506,Kingdom Monera: Bacterial Classification,623,260,Biological Classification
17,507,Kingdom Monera: Actinomycetes & Mycoplasma,623,55,Biological Classification
18,508,Kingdom Monera: Blue Green Algae,623,42,Biological Classification
19,509,Kingdom Protista: Introduction,623,63,Biological Classification
20,510,Kingdom Protista: Chrysophytes,623,95,Biological Classification
21,511,Kingdom Protista: Dinoflagellates,623,81,Biological Classification
22,512,Kingdom Protista: Euglenoids,623,71,Biological Classification
23,513,Kingdom Protista: Slime Moulds,623,91,Biological Classification
24,514,Kingdom Fungi: Introduction,623,191,Biological Classification
25,515,Kingdom Fungi: Sexual Reproduction in Fungi,623,52,Biological Classification
26,516,Kingdom Fungi: Deuteromycetes,623,77,Biological Classification
27,517,Kingdom Fungi: Zygomycetes,623,68,Biological Classification
28,518,Kingdom Fungi: Ascomycetes,623,158,Biological Classification
29,519,Kingdom Fungi: Basidomycetes,623,160,Biological Classification
