,Id,Name,Topic-Code,Questions count,Topic
0,27,Introduction of Atomic Structure,646,52,Structure of Atom
1,45, Evolution of Periodic Table,647,28,Classification of Elements and Periodicity in Properties
2,64,"Octate, Isoelectronic Species, Lewis Structure & Formal Charge",648,101,Chemical Bonding and Molecular Structure
3,69,Introduction to States of Matter,649,30,States of Matter (OLD NCERT)
4,80,Thermodynamics' Properties and process,650,55,Thermodynamics
5,91,Introduction To Equilibrium,651,197,Equilibrium
6,102,Introduction to Redox and Oxidation Number,652,158,Redox Reactions
7,109,Hydrogen- Types & Isotopes,653,85,Hydrogen (OLD NCERT)
8,115,Physical Properties ,654,207,The s-Block Elements (OLD NCERT)
9,122,"Boron Family- Preparations, Properties & Uses",655,179,The p-Block Elements (XI)
10,131,Hybridisation & Structure of Carbon Compounds,656,94,Organic Chemistry - Some Basic Principles And Techniques
11,140,"Aliphatic Hydrocarbon -Nomenclature, Isomerism & Mechanism",657,94,Hydrocarbons
12,154,Introduction,658,47,Environmental Chemistry (OLD NCERT)
13,163,Introduction & Crystal System,659,223,The Solid State (OLD NCERT)
14,168,Introduction & Colligative properties,660,71,Solutions
15,179,Electrode & Electrode Potential ,661,154,Electrochemistry
16,197,"Definition, Rate Constant, Rate Law",662,236,Chemical Kinetics
17,202,Adsorption and Absorption,663,127,Surface Chemistry (OLD NCERT)
18,206,"Intro - Flux, Leaching, Roasting & Calcination",664,277,General Principles and Processes of Isolation of Elements (OLD NCERT)
19,215,"Group 15 - Preparation, Properties & Uses",665,462,The p-Block Elements (XII)
20,221,d-Block Elements- Properties & Uses,666,580,The d and f Block Elements
21,228,"Introduction, Classification and Nomenclature",667,262,Coordination Compounds
22,240,Physical Properties ,668,211,Haloalkanes and Haloarenes
23,246,Alcohols: Preparation & Properties,669,482,"Alcohols,Phenols and Ethers"
24,251,Aldehydes & Ketones: Preparation & Properties ,670,765,"Aldehydes, Ketones and Carboxylic Acids"
25,254,Amines - Preparation & Properties,671,522,Amines
26,258,Carbohydrates - Classification & D-L configuration,672,236,Biomolecules
27,264,Classification -  Methods of Polymerization & Copolymerization,673,275,Polymers (OLD NCERT)
28,266,Classification of Medicines,674,335,Chemistry in Everyday Life (OLD NCERT)
29,1526,Introduction,645,80,Some Basic Concepts Of Chemistry
30,21,"Moles, Atoms & Electrons",645,245,Some Basic Concepts Of Chemistry
31,40,"Number of Electron, Proton & Neutron",646,76,Structure of Atom
32,47,Modern Periodic Table &  Periodicity ,647,144,Classification of Elements and Periodicity in Properties
33,57,Types of Chemical Bond,648,96,Chemical Bonding and Molecular Structure
34,70,Gas Laws,649,169,States of Matter (OLD NCERT)
35,84,"Classification of System, Extensive & Intensive Properties",650,51,Thermodynamics
36,93,Le Chatelier's principle ,651,104,Equilibrium
37,104,Balancing of Equations ,652,96,Redox Reactions
38,110,Preparation & Properties,653,110,Hydrogen (OLD NCERT)
39,116,Chemical Properties,654,256,The s-Block Elements (OLD NCERT)
40,123,Anomalous Behaviour of B & C,655,18,The p-Block Elements (XI)
41,133,Nomenclature ,656,275,Organic Chemistry - Some Basic Principles And Techniques
42,139,Aliphatic Hydrocarbon- Physical Properties,657,59,Hydrocarbons
43,153,Air Pollution - Smog,658,74,Environmental Chemistry (OLD NCERT)
44,165,Density & Packing Fraction,659,216,The Solid State (OLD NCERT)
45,171,Concentration Terms & Henry's Law,660,233,Solutions
46,182,Nernst Equation,661,130,Electrochemistry
47,199,Arrhenius Equation,662,229,Chemical Kinetics
48,203,Adsorption Isotherm,663,47,Surface Chemistry (OLD NCERT)
49,207,Ellingham Diagram,664,57,General Principles and Processes of Isolation of Elements (OLD NCERT)
50,212,"Group 16 - Preparation, Properties & Uses",665,282,The p-Block Elements (XII)
51,222,f-Block Elements- Properties & Uses,666,132,The d and f Block Elements
52,230,Ligands,667,84,Coordination Compounds
53,247,"Mechanism of Dehydration, Methanol & Ethanol",669,148,"Alcohols,Phenols and Ethers"
54,253,Carboxylic Acids: Preparation & Properties,670,294,"Aldehydes, Ketones and Carboxylic Acids"
