,Id,Name,Topic-Code,Questions count,Topic
0,3606,Frogs,707,67,Structural Organisation in Animals
1,3704,Frogs: Morphology,707,51,Structural Organisation in Animals
2,3705,Frogs: Anatomy (Digestive System),707,31,Structural Organisation in Animals
3,3706,Frogs: Anatomy (Circulatory System),707,40,Structural Organisation in Animals
4,3707,Frogs: Anatomy (Respiratory System),707,27,Structural Organisation in Animals
5,3708,Frogs: Anatomy (Nervous System),707,36,Structural Organisation in Animals
6,3709,Frogs: Anatomy (Excretory System),707,22,Structural Organisation in Animals
7,3710,Frogs: Anatomy (Male Reproductive System),707,22,Structural Organisation in Animals
8,3711,Frogs: Anatomy (Female Reproductive System),707,24,Structural Organisation in Animals
9,3712,How Frogs are Beneficial for Mankind?,707,4,Structural Organisation in Animals
10,3713,Summary - Structural Organisation in Animals,707,1,Structural Organisation in Animals
11,541,Basis of Classification:I,706,29,Animal Kingdom
12,542,Basis of Classification:II,706,26,Animal Kingdom
13,543,Phylum Porifera,706,188,Animal Kingdom
14,544,Phylum Coelenterata,706,235,Animal Kingdom
15,545,Phylum Ctenophora & Platyhelminthes,706,334,Animal Kingdom
16,546,Phylum Aschelminthes,706,164,Animal Kingdom
17,547,Phylum Annelida,706,205,Animal Kingdom
18,548,Phylum Arthropoda,706,291,Animal Kingdom
19,549,Phylum Mollusca,706,217,Animal Kingdom
20,550,Phylum Echinodermata,706,201,Animal Kingdom
21,551,Phylum Hemichordata,706,87,Animal Kingdom
22,552,Phylum Chordata,706,217,Animal Kingdom
23,553,General Introduction: Vertebrates & Agnatha,706,82,Animal Kingdom
24,554,Comparative study of Cartilagenous & Bony Fishes,706,195,Animal Kingdom
25,555,Study of Amphibians,706,89,Animal Kingdom
26,556,Study of Reptilia,706,115,Animal Kingdom
27,557,Study of Aves & Mammals,706,277,Animal Kingdom
28,594,Introduction to Animal & Epithelium Tissue,707,71,Structural Organisation in Animals
29,595,Simple Epithelium,707,238,Structural Organisation in Animals
30,596,Compound & Specialised Epithelium,707,67,Structural Organisation in Animals
31,597,Glandular Epithelium & Cell Junction,707,149,Structural Organisation in Animals
32,598,Connective Tissue,707,410,Structural Organisation in Animals
33,599,Animal Tissue: Muscle Types & Skeletal Muscles,707,46,Structural Organisation in Animals
34,600,Cardiac Muscle & Smooth Muscle,707,118,Structural Organisation in Animals
35,601,Nervous Tissue,707,74,Structural Organisation in Animals
36,602,Cockroach: Intro & External Morphology (OLD NCERT),707,98,Structural Organisation in Animals
37,603,Cockroach: Head & Mouth Parts (OLD NCERT),707,57,Structural Organisation in Animals
38,604,Cockroach: Structure of Thorax (OLD NCERT),707,52,Structural Organisation in Animals
39,605,Cockroach: Abdomen (OLD NCERT),707,14,Structural Organisation in Animals
40,606,Cockroach: Digestive System (OLD NCERT),707,86,Structural Organisation in Animals
41,607,Cockroach: Respiratory System (OLD NCERT),707,56,Structural Organisation in Animals
42,608,Cockroach: Circulatory System (OLD NCERT),707,43,Structural Organisation in Animals
43,609,Cockroach: Solved Examples (OLD NCERT),707,3,Structural Organisation in Animals
44,610,Cockroach: Excretory System (OLD NCERT),707,60,Structural Organisation in Animals
45,611,Cockroach: Nervous System (OLD NCERT),707,42,Structural Organisation in Animals
46,612,Cockroach: Compound Eye (OLD NCERT),707,70,Structural Organisation in Animals
47,613,Cockroach:Male Reproductive System (OLD NCERT),707,74,Structural Organisation in Animals
48,614,Cockroach: Female Reproductive System (OLD NCERT),707,109,Structural Organisation in Animals
49,640,Element Analysis,628,76,Biomolecules
50,641,Nucleic Acid,628,82,Biomolecules
51,642,Nucleic Acid: Nucleotides,628,92,Biomolecules
52,643,The DNA,628,89,Biomolecules
53,644,Amino Acids,628,138,Biomolecules
54,645,Proteins,628,176,Biomolecules
55,646,Carbohydrates,628,114,Biomolecules
56,647,Lipids,628,143,Biomolecules
57,648,Enzymes,628,89,Biomolecules
58,649,Enzymes Classification,628,83,Biomolecules
59,650,Enzyme Catalysis,628,85,Biomolecules
60,651,Factors Affecting Enzyme Catalysis Reaction,628,92,Biomolecules
61,723,Introduction to Digestive System,708,65,Digestion and Absorption (OLD NCERT)
62,724,Alimentary Canal: Oral Cavity & Teeth,708,114,Digestion and Absorption (OLD NCERT)
63,725,Swallowing: Histology of Gut,708,32,Digestion and Absorption (OLD NCERT)
64,726,Histology of Gut,708,122,Digestion and Absorption (OLD NCERT)
65,727,Peristalsis: Gland in Alimentary Canal,708,64,Digestion and Absorption (OLD NCERT)
66,728,Accessory Digestive Glands,708,130,Digestion and Absorption (OLD NCERT)
67,729,Movement of Food in Gut,708,74,Digestion and Absorption (OLD NCERT)
68,730,Digestive Secretions: Saliva,708,46,Digestion and Absorption (OLD NCERT)
69,731,Gastric Secretions,708,193,Digestion and Absorption (OLD NCERT)
70,732,Bile,708,75,Digestion and Absorption (OLD NCERT)
71,733,Pancreatic Secretions,708,127,Digestion and Absorption (OLD NCERT)
72,734,Intestinal Secretions,708,144,Digestion and Absorption (OLD NCERT)
73,735,Absorption: General Adaptations,708,42,Digestion and Absorption (OLD NCERT)
74,736,Absorption: Part 1,708,52,Digestion and Absorption (OLD NCERT)
75,737,Absorption: Part 2,708,37,Digestion and Absorption (OLD NCERT)
76,738,Protein Energy Malnutrition,708,81,Digestion and Absorption (OLD NCERT)
77,739,Respiratory System: Upper Respiratory Tract,709,48,Breathing and Exchange of Gases
78,740,Respiratory System: Trachea & Basic Anatomy of Lung,709,199,Breathing and Exchange of Gases
79,741,Respiratory System: Pulmonary Ventilation,709,132,Breathing and Exchange of Gases
